type,subnet,specifics,source,Status,Environments,Destinations,Sources
PolicyType.Waypoint,32.254.227.0/24,r1,er1,PolicyStatus.HOLDS,{9},{r1:GigabitEthernet130/0 (32.254.227.0/24)},er1
PolicyType.Waypoint,32.254.227.0/24,c1,c1,PolicyStatus.HOLDS,{9},{r1:GigabitEthernet130/0 (32.254.227.0/24)},c1
PolicyType.Waypoint,32.254.227.0/24,c1,er2,PolicyStatus.HOLDS,{9},{r1:GigabitEthernet130/0 (32.254.227.0/24)},er2
PolicyType.Waypoint,32.254.227.0/24,er2,er2,PolicyStatus.HOLDS,{9},{r1:GigabitEthernet130/0 (32.254.227.0/24)},er2
PolicyType.Waypoint,32.254.227.0/24,er1,er1,PolicyStatus.HOLDS,{9},{r1:GigabitEthernet130/0 (32.254.227.0/24)},er1
PolicyType.Waypoint,32.254.227.0/24,r2,r2,PolicyStatus.HOLDS,{9},{r1:GigabitEthernet130/0 (32.254.227.0/24)},r2
PolicyType.Waypoint,32.254.122.0/24,c2,c2,PolicyStatus.HOLDS,{9},{r2:GigabitEthernet150/0 (32.254.122.0/24)},c2
PolicyType.Waypoint,32.254.122.0/24,c2,er2,PolicyStatus.HOLDS,{9},{r2:GigabitEthernet150/0 (32.254.122.0/24)},er2
PolicyType.Waypoint,32.254.122.0/24,c2,er1,PolicyStatus.HOLDS,{9},{r2:GigabitEthernet150/0 (32.254.122.0/24)},er1
PolicyType.Waypoint,32.254.122.0/24,c2,c1,PolicyStatus.HOLDS,{9},{r2:GigabitEthernet150/0 (32.254.122.0/24)},c1
PolicyType.Waypoint,32.254.122.0/24,r1,r1,PolicyStatus.HOLDS,{9},{r2:GigabitEthernet150/0 (32.254.122.0/24)},r1
PolicyType.Waypoint,32.254.122.0/24,c1,c1,PolicyStatus.HOLDS,{9},{r2:GigabitEthernet150/0 (32.254.122.0/24)},c1
PolicyType.Waypoint,32.254.122.0/24,er2,er2,PolicyStatus.HOLDS,{9},{r2:GigabitEthernet150/0 (32.254.122.0/24)},er2
PolicyType.LoadBalancingSimple,192.168.5.0/24,2,er2,PolicyStatus.HOLDS,{9},{r2:GigabitEthernet0/3 (192.168.5.0/24)},er2
PolicyType.LoadBalancingSimple,192.168.4.0/24,2,r2,PolicyStatus.HOLDS,{9},{r1:GigabitEthernet0/3 (192.168.4.0/24)},r2
PolicyType.LoadBalancingSimple,192.168.2.0/24,2,er2,PolicyStatus.HOLDS,{9},{r2:GigabitEthernet0/2 (192.168.2.0/24)},er2
PolicyType.LoadBalancingSimple,192.168.2.0/24,2,er1,PolicyStatus.HOLDS,{9},{r2:GigabitEthernet0/2 (192.168.2.0/24)},er1
PolicyType.LoadBalancingSimple,192.168.1.0/24,2,r2,PolicyStatus.HOLDS,{9},{r1:GigabitEthernet0/2 (192.168.1.0/24)},r2
PolicyType.LoadBalancingSimple,32.254.227.0/24,2,c1,PolicyStatus.HOLDS,{9},{r1:GigabitEthernet130/0 (32.254.227.0/24)},c1
PolicyType.LoadBalancingSimple,32.254.227.0/24,2,er2,PolicyStatus.HOLDS,{9},{r1:GigabitEthernet130/0 (32.254.227.0/24)},er2
PolicyType.LoadBalancingSimple,32.254.122.0/24,2,er2,PolicyStatus.HOLDS,{9},{r2:GigabitEthernet150/0 (32.254.122.0/24)},er2
PolicyType.LoadBalancingSimple,32.241.58.0/24,2,er2,PolicyStatus.HOLDS,{9},{r2:GigabitEthernet110/0 (32.241.58.0/24)},er2
PolicyType.LoadBalancingSimple,32.241.58.0/24,2,er1,PolicyStatus.HOLDS,{9},{r2:GigabitEthernet110/0 (32.241.58.0/24)},er1
PolicyType.LoadBalancingSimple,32.187.35.0/24,2,c1,PolicyStatus.HOLDS,{9},{r1:GigabitEthernet150/0 (32.187.35.0/24)},c1
PolicyType.LoadBalancingSimple,32.187.35.0/24,2,r2,PolicyStatus.HOLDS,{9},{r1:GigabitEthernet150/0 (32.187.35.0/24)},r2
PolicyType.LoadBalancingSimple,32.135.59.0/24,2,er2,PolicyStatus.HOLDS,{9},{r2:GigabitEthernet120/0 (32.135.59.0/24)},er2
PolicyType.LoadBalancingSimple,32.126.25.0/24,2,c1,PolicyStatus.HOLDS,{9},{r1:GigabitEthernet140/0 (32.126.25.0/24)},c1
PolicyType.LoadBalancingSimple,32.102.180.0/24,2,er2,PolicyStatus.HOLDS,{9},{r2:GigabitEthernet130/0 (32.102.180.0/24)},er2
PolicyType.LoadBalancingSimple,32.100.2.0/24,2,er2,PolicyStatus.HOLDS,{9},{r2:GigabitEthernet140/0 (32.100.2.0/24)},er2
PolicyType.LoadBalancingSimple,32.11.233.0/24,2,er2,PolicyStatus.HOLDS,{9},{r2:GigabitEthernet160/0 (32.11.233.0/24)},er2
PolicyType.LoadBalancingSimple,20.0.0.252/32,2,er1,PolicyStatus.HOLDS,{9},{er2:Loopback0 (20.0.0.252/32)},er1
PolicyType.LoadBalancingSimple,20.0.0.252/32,2,r2,PolicyStatus.HOLDS,{9},{er2:Loopback0 (20.0.0.252/32)},r2
PolicyType.LoadBalancingSimple,20.0.0.251/32,2,er2,PolicyStatus.HOLDS,{9},{er1:Loopback0 (20.0.0.251/32)},er2
PolicyType.Waypoint,192.168.5.0/24,c2,c2,PolicyStatus.HOLDS,{9},{r2:GigabitEthernet0/3 (192.168.5.0/24)},c2
PolicyType.Waypoint,192.168.5.0/24,c2,r1,PolicyStatus.HOLDS,{9},{r2:GigabitEthernet0/3 (192.168.5.0/24)},r1
PolicyType.Waypoint,192.168.5.0/24,r1,r1,PolicyStatus.HOLDS,{9},{r2:GigabitEthernet0/3 (192.168.5.0/24)},r1
PolicyType.Waypoint,192.168.5.0/24,c1,c1,PolicyStatus.HOLDS,{9},{r2:GigabitEthernet0/3 (192.168.5.0/24)},c1
PolicyType.Waypoint,192.168.5.0/24,c1,er1,PolicyStatus.HOLDS,{9},{r2:GigabitEthernet0/3 (192.168.5.0/24)},er1
PolicyType.Waypoint,192.168.5.0/24,er2,er2,PolicyStatus.HOLDS,{9},{r2:GigabitEthernet0/3 (192.168.5.0/24)},er2
PolicyType.Waypoint,192.168.5.0/24,er1,er1,PolicyStatus.HOLDS,{9},{r2:GigabitEthernet0/3 (192.168.5.0/24)},er1
PolicyType.Waypoint,192.168.5.0/24,r2,er2,PolicyStatus.HOLDS,{9},{r2:GigabitEthernet0/3 (192.168.5.0/24)},er2
PolicyType.Waypoint,192.168.5.0/24,r2,c1,PolicyStatus.HOLDS,{9},{r2:GigabitEthernet0/3 (192.168.5.0/24)},c1
PolicyType.Waypoint,192.168.5.0/24,r2,c2,PolicyStatus.HOLDS,{9},{r2:GigabitEthernet0/3 (192.168.5.0/24)},c2
PolicyType.Waypoint,192.168.5.0/24,r2,r1,PolicyStatus.HOLDS,{9},{r2:GigabitEthernet0/3 (192.168.5.0/24)},r1
PolicyType.Waypoint,192.168.5.0/24,r2,er1,PolicyStatus.HOLDS,{9},{r2:GigabitEthernet0/3 (192.168.5.0/24)},er1
PolicyType.Reachability,32.11.233.0/24,0,c2,PolicyStatus.HOLDS,{9},{r2:GigabitEthernet160/0 (32.11.233.0/24)},c2
PolicyType.Reachability,32.11.233.0/24,0,r1,PolicyStatus.HOLDS,{9},{r2:GigabitEthernet160/0 (32.11.233.0/24)},r1
PolicyType.Reachability,32.11.233.0/24,0,c1,PolicyStatus.HOLDS,{9},{r2:GigabitEthernet160/0 (32.11.233.0/24)},c1
PolicyType.Reachability,32.11.233.0/24,0,er2,PolicyStatus.HOLDS,{9},{r2:GigabitEthernet160/0 (32.11.233.0/24)},er2
PolicyType.Reachability,32.11.233.0/24,0,er1,PolicyStatus.HOLDS,{9},{r2:GigabitEthernet160/0 (32.11.233.0/24)},er1
PolicyType.Reachability,32.102.180.0/24,0,c2,PolicyStatus.HOLDS,{9},{r2:GigabitEthernet130/0 (32.102.180.0/24)},c2
PolicyType.Reachability,32.102.180.0/24,0,r1,PolicyStatus.HOLDS,{9},{r2:GigabitEthernet130/0 (32.102.180.0/24)},r1
PolicyType.Reachability,32.102.180.0/24,0,c1,PolicyStatus.HOLDS,{9},{r2:GigabitEthernet130/0 (32.102.180.0/24)},c1
PolicyType.Reachability,32.102.180.0/24,0,er2,PolicyStatus.HOLDS,{9},{r2:GigabitEthernet130/0 (32.102.180.0/24)},er2
PolicyType.Reachability,32.102.180.0/24,0,er1,PolicyStatus.HOLDS,{9},{r2:GigabitEthernet130/0 (32.102.180.0/24)},er1
PolicyType.Reachability,32.100.2.0/24,0,c2,PolicyStatus.HOLDS,{9},{r2:GigabitEthernet140/0 (32.100.2.0/24)},c2
PolicyType.Reachability,32.100.2.0/24,0,r1,PolicyStatus.HOLDS,{9},{r2:GigabitEthernet140/0 (32.100.2.0/24)},r1
PolicyType.Reachability,32.100.2.0/24,0,c1,PolicyStatus.HOLDS,{9},{r2:GigabitEthernet140/0 (32.100.2.0/24)},c1
PolicyType.Reachability,32.100.2.0/24,0,er2,PolicyStatus.HOLDS,{9},{r2:GigabitEthernet140/0 (32.100.2.0/24)},er2
PolicyType.Reachability,32.100.2.0/24,0,er1,PolicyStatus.HOLDS,{9},{r2:GigabitEthernet140/0 (32.100.2.0/24)},er1
PolicyType.Reachability,32.99.199.0/24,0,c2,PolicyStatus.HOLDS,{9},{r1:GigabitEthernet110/0 (32.99.199.0/24)},c2
PolicyType.Reachability,32.99.199.0/24,0,c1,PolicyStatus.HOLDS,{9},{r1:GigabitEthernet110/0 (32.99.199.0/24)},c1
PolicyType.Reachability,32.99.199.0/24,0,er2,PolicyStatus.HOLDS,{9},{r1:GigabitEthernet110/0 (32.99.199.0/24)},er2
PolicyType.Reachability,32.99.199.0/24,0,er1,PolicyStatus.HOLDS,{9},{r1:GigabitEthernet110/0 (32.99.199.0/24)},er1
PolicyType.Reachability,32.99.199.0/24,0,r2,PolicyStatus.HOLDS,{9},{r1:GigabitEthernet110/0 (32.99.199.0/24)},r2
PolicyType.Reachability,32.187.35.0/24,0,c2,PolicyStatus.HOLDS,{9},{r1:GigabitEthernet150/0 (32.187.35.0/24)},c2
PolicyType.Reachability,32.187.35.0/24,0,c1,PolicyStatus.HOLDS,{9},{r1:GigabitEthernet150/0 (32.187.35.0/24)},c1
PolicyType.Reachability,32.187.35.0/24,0,er2,PolicyStatus.HOLDS,{9},{r1:GigabitEthernet150/0 (32.187.35.0/24)},er2
PolicyType.Reachability,32.187.35.0/24,0,er1,PolicyStatus.HOLDS,{9},{r1:GigabitEthernet150/0 (32.187.35.0/24)},er1
PolicyType.Reachability,32.187.35.0/24,0,r2,PolicyStatus.HOLDS,{9},{r1:GigabitEthernet150/0 (32.187.35.0/24)},r2
PolicyType.Reachability,32.161.224.0/24,0,c2,PolicyStatus.HOLDS,{9},{r1:GigabitEthernet120/0 (32.161.224.0/24)},c2
PolicyType.Reachability,32.161.224.0/24,0,c1,PolicyStatus.HOLDS,{9},{r1:GigabitEthernet120/0 (32.161.224.0/24)},c1
PolicyType.Reachability,32.161.224.0/24,0,er2,PolicyStatus.HOLDS,{9},{r1:GigabitEthernet120/0 (32.161.224.0/24)},er2
PolicyType.Reachability,32.161.224.0/24,0,er1,PolicyStatus.HOLDS,{9},{r1:GigabitEthernet120/0 (32.161.224.0/24)},er1
PolicyType.Reachability,32.161.224.0/24,0,r2,PolicyStatus.HOLDS,{9},{r1:GigabitEthernet120/0 (32.161.224.0/24)},r2
PolicyType.Reachability,32.135.59.0/24,0,c2,PolicyStatus.HOLDS,{9},{r2:GigabitEthernet120/0 (32.135.59.0/24)},c2
PolicyType.Reachability,32.135.59.0/24,0,r1,PolicyStatus.HOLDS,{9},{r2:GigabitEthernet120/0 (32.135.59.0/24)},r1
PolicyType.Reachability,32.135.59.0/24,0,c1,PolicyStatus.HOLDS,{9},{r2:GigabitEthernet120/0 (32.135.59.0/24)},c1
PolicyType.Reachability,32.135.59.0/24,0,er2,PolicyStatus.HOLDS,{9},{r2:GigabitEthernet120/0 (32.135.59.0/24)},er2
PolicyType.Reachability,32.135.59.0/24,0,er1,PolicyStatus.HOLDS,{9},{r2:GigabitEthernet120/0 (32.135.59.0/24)},er1
PolicyType.Reachability,32.126.25.0/24,0,c2,PolicyStatus.HOLDS,{9},{r1:GigabitEthernet140/0 (32.126.25.0/24)},c2
PolicyType.Reachability,32.126.25.0/24,0,c1,PolicyStatus.HOLDS,{9},{r1:GigabitEthernet140/0 (32.126.25.0/24)},c1
PolicyType.Reachability,32.126.25.0/24,0,er2,PolicyStatus.HOLDS,{9},{r1:GigabitEthernet140/0 (32.126.25.0/24)},er2
PolicyType.Reachability,32.126.25.0/24,0,er1,PolicyStatus.HOLDS,{9},{r1:GigabitEthernet140/0 (32.126.25.0/24)},er1
PolicyType.Reachability,32.254.227.0/24,0,c2,PolicyStatus.HOLDS,{9},{r1:GigabitEthernet130/0 (32.254.227.0/24)},c2
PolicyType.Reachability,32.254.227.0/24,0,c1,PolicyStatus.HOLDS,{9},{r1:GigabitEthernet130/0 (32.254.227.0/24)},c1
PolicyType.Reachability,32.254.227.0/24,0,er2,PolicyStatus.HOLDS,{9},{r1:GigabitEthernet130/0 (32.254.227.0/24)},er2
PolicyType.Reachability,32.254.227.0/24,0,er1,PolicyStatus.HOLDS,{9},{r1:GigabitEthernet130/0 (32.254.227.0/24)},er1
PolicyType.Reachability,32.254.227.0/24,0,r2,PolicyStatus.HOLDS,{9},{r1:GigabitEthernet130/0 (32.254.227.0/24)},r2
PolicyType.Reachability,32.254.122.0/24,0,c2,PolicyStatus.HOLDS,{9},{r2:GigabitEthernet150/0 (32.254.122.0/24)},c2
PolicyType.Reachability,32.254.122.0/24,0,r1,PolicyStatus.HOLDS,{9},{r2:GigabitEthernet150/0 (32.254.122.0/24)},r1
PolicyType.Reachability,32.254.122.0/24,0,c1,PolicyStatus.HOLDS,{9},{r2:GigabitEthernet150/0 (32.254.122.0/24)},c1
PolicyType.Reachability,32.254.122.0/24,0,er2,PolicyStatus.HOLDS,{9},{r2:GigabitEthernet150/0 (32.254.122.0/24)},er2
PolicyType.Reachability,32.254.122.0/24,0,er1,PolicyStatus.HOLDS,{9},{r2:GigabitEthernet150/0 (32.254.122.0/24)},er1
PolicyType.Reachability,32.241.58.0/24,0,c2,PolicyStatus.HOLDS,{9},{r2:GigabitEthernet110/0 (32.241.58.0/24)},c2
PolicyType.Reachability,32.241.58.0/24,0,r1,PolicyStatus.HOLDS,{9},{r2:GigabitEthernet110/0 (32.241.58.0/24)},r1
PolicyType.Reachability,32.241.58.0/24,0,c1,PolicyStatus.HOLDS,{9},{r2:GigabitEthernet110/0 (32.241.58.0/24)},c1
PolicyType.Reachability,32.241.58.0/24,0,er2,PolicyStatus.HOLDS,{9},{r2:GigabitEthernet110/0 (32.241.58.0/24)},er2
PolicyType.Reachability,32.241.58.0/24,0,er1,PolicyStatus.HOLDS,{9},{r2:GigabitEthernet110/0 (32.241.58.0/24)},er1
